頻度,大分類,項目,補足,重要度
常時,評判,レビュー獲得フローの実行,納品時などの依頼をルーティン化,A
都度(口コミ着信時),評判,キーワード入り返信,口コミに対し地名や技術名を含めて返信,B
都度(祝日・連休前),基盤設定,営業時間の特別設定,祝日・年末年始・GW等の特別営業日を登録,A
都度(新サービス時),構造化・計測,サービス構造化の更新,メニューから個別サービスと説明文を追加,A
都度(人事異動時),業種特有,院長プロフィール/スタッフ紹介の更新,新規採用・退職時に反映,B
月次,コンテンツ,写真の追加(月2〜4枚),外観・内観・作業風景など多様性を意識,A
月次,コンテンツ,「最新情報」の投稿(月2回〜),実績報告・イベント・オファーの使い分け,B
月次,コンテンツ,動画コンテンツ追加(月1回),短尺30秒〜の動画を投稿,C
月次,運用・モニタリング,インサイト確認＆改善ループ,検索クエリ・電話タップ・経路検索数を分析,B
月次,運用・モニタリング,ユーザー修正提案の監視,第三者の情報書換えを確認・拒否,B
月次,構造化・計測,セルフQ&Aの追記(月1問),月1問のペースでQ&Aを追加,B
四半期,基盤設定,属性(Attributes)の見直し,新規追加された属性がないかチェック,B
四半期,業種特有,設備写真の更新,新設備や改装内容の写真追加,B
半年,基盤設定,ビジネス説明文(750字)の見直し,キーワード見直し・季節要素の追加,A
年次,基盤設定,NAP表記統一の見直し,各サイトでの社名・住所・電話の表記を再確認,A
